"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","verify_id","validity_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"77",2016-08-15,2016-08-16,"bel2","Belfast Centre","o3",54.265686,110,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"78",2016-08-16,2016-08-17,"bel2","Belfast Centre","o3",67.385244,110,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"79",2016-08-17,2016-08-18,"bel2","Belfast Centre","o3",46.725411,110,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"80",2016-08-18,2016-08-19,"bel2","Belfast Centre","o3",38.577749,110,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
"81",2016-08-15,2016-08-16,"bel2","Belfast Centre","no2",13.113098,111,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"82",2016-08-16,2016-08-17,"bel2","Belfast Centre","no2",25.652446,111,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"83",2016-08-17,2016-08-18,"bel2","Belfast Centre","no2",32.33788,111,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"84",2016-08-18,2016-08-19,"bel2","Belfast Centre","no2",42.815054,111,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"85",2016-08-15,2016-08-16,"bel2","Belfast Centre","co",0.027333,112,12,1,0,0,27,"mgm-3","daily_mean",1,"aun"
"86",2016-08-16,2016-08-17,"bel2","Belfast Centre","co",0.074914,112,12,1,0,0,27,"mgm-3","daily_mean",1,"aun"
"87",2016-08-17,2016-08-18,"bel2","Belfast Centre","co",0.076938,112,12,1,0,0,27,"mgm-3","daily_mean",1,"aun"
"88",2016-08-18,2016-08-19,"bel2","Belfast Centre","co",0.112371,112,12,1,0,0,27,"mgm-3","daily_mean",1,"aun"
"89",2016-08-15,2016-08-16,"bel2","Belfast Centre","pm25",12.429167,65115,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"90",2016-08-16,2016-08-17,"bel2","Belfast Centre","pm25",20.770833,65115,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"91",2016-08-17,2016-08-18,"bel2","Belfast Centre","pm25",19.704348,65115,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"92",2016-08-18,2016-08-19,"bel2","Belfast Centre","pm25",25.858333,65115,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"93",2016-08-15,2016-08-16,"bex","London Bexley","no2",17.046196,161,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"94",2016-08-16,2016-08-17,"bex","London Bexley","no2",17.661522,161,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"95",2016-08-17,2016-08-18,"bex","London Bexley","no2",23.15788,161,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"96",2016-08-18,2016-08-19,"bex","London Bexley","no2",22.93337,161,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"97",2016-08-15,2016-08-16,"bex","London Bexley","pm25",NA,64727,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"98",2016-08-16,2016-08-17,"bex","London Bexley","pm25",7.433333,64727,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"99",2016-08-17,2016-08-18,"bex","London Bexley","pm25",13.1875,64727,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"100",2016-08-18,2016-08-19,"bex","London Bexley","pm25",11.758333,64727,12,1,0,0,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"aun"
"101",2016-08-15,2016-08-16,"bil","Billingham","no2",20.511562,42,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"102",2016-08-16,2016-08-17,"bil","Billingham","no2",18.702656,42,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"103",2016-08-17,2016-08-18,"bil","Billingham","no2",20.965781,42,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"104",2016-08-18,2016-08-19,"bil","Billingham","no2",20.033438,42,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"105",2016-08-15,2016-08-16,"bir1","Birmingham Tyburn","no2",NA,61722,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"106",2016-08-16,2016-08-17,"bir1","Birmingham Tyburn","no2",NA,61722,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"107",2016-08-17,2016-08-18,"bir1","Birmingham Tyburn","no2",NA,61722,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"108",2016-08-18,2016-08-19,"bir1","Birmingham Tyburn","no2",NA,61722,12,1,0,0,24,"ugm-3","daily_mean",3,"aun"
"109",2016-08-15,2016-08-16,"bir1","Birmingham Tyburn","o3",NA,61724,12,1,0,0,24,"ugm-3","daily_mean",5,"aun"
