"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"74",2016-09-23,2016-09-24,"hs4","Hounslow Chiswick","no2",52.354688,74689,12,1,24,"ugm-3","daily_mean",5,"aqe"
"75",2016-09-24,2016-09-25,"hs4","Hounslow Chiswick","no2",51.239063,74689,12,1,24,"ugm-3","daily_mean",5,"aqe"
"76",2016-09-23,2016-09-24,"hs5","Hounslow Brentford","no2",50.521875,74695,12,1,24,"ugm-3","daily_mean",5,"aqe"
"77",2016-09-24,2016-09-25,"hs5","Hounslow Brentford","no2",38.25,74695,12,1,24,"ugm-3","daily_mean",5,"aqe"
"78",2016-09-23,2016-09-24,"hs6","Hounslow Heston","no2",38.648438,74701,12,1,24,"ugm-3","daily_mean",5,"aqe"
"79",2016-09-24,2016-09-25,"hs6","Hounslow Heston","no2",37.29375,74701,12,1,24,"ugm-3","daily_mean",5,"aqe"
"80",2016-09-23,2016-09-24,"hs7","Hounslow Hatton Cross","no2",22.95,74707,12,1,24,"ugm-3","daily_mean",5,"aqe"
"81",2016-09-24,2016-09-25,"hs7","Hounslow Hatton Cross","no2",8.925,74707,12,1,24,"ugm-3","daily_mean",5,"aqe"
"82",2016-09-23,2016-09-24,"hs8","Hounslow Gunnersbury","no2",121.045313,74719,12,1,24,"ugm-3","daily_mean",5,"aqe"
"83",2016-09-24,2016-09-25,"hs8","Hounslow Gunnersbury","no2",109.65,74719,12,1,24,"ugm-3","daily_mean",5,"aqe"
"84",2016-09-23,2016-09-24,"hs9","Hounslow Feltham","no2",42.951563,74713,12,1,24,"ugm-3","daily_mean",5,"aqe"
"85",2016-09-24,2016-09-25,"hs9","Hounslow Feltham","no2",9.721875,74713,12,1,24,"ugm-3","daily_mean",5,"aqe"
"86",2016-09-23,2016-09-24,"imp","S Cambs Impington","no2",13.785938,71591,12,1,24,"ugm-3","daily_mean",5,"aqe"
"87",2016-09-24,2016-09-25,"imp","S Cambs Impington","no2",10.757813,71591,12,1,24,"ugm-3","daily_mean",5,"aqe"
"88",2016-09-23,2016-09-24,"lgw3","Gatwick LGW3","no2",32.114063,70223,12,1,24,"ugm-3","daily_mean",5,"aqe"
"89",2016-09-24,2016-09-25,"lgw3","Gatwick LGW3","no2",28.36875,70223,12,1,24,"ugm-3","daily_mean",5,"aqe"
"90",2016-09-23,2016-09-24,"lhr2","Heathrow LHR2","no2",63.528261,70323,12,1,24,"ugm-3","daily_mean",5,"aqe"
"91",2016-09-24,2016-09-25,"lhr2","Heathrow LHR2","no2",49.309239,70323,12,1,24,"ugm-3","daily_mean",5,"aqe"
"92",2016-09-23,2016-09-24,"lhr2","Heathrow LHR2","pm25",5.75,70328,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"93",2016-09-24,2016-09-25,"lhr2","Heathrow LHR2","pm25",6.541667,70328,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"94",2016-09-23,2016-09-24,"m60","Salford M60","o3",8.428714,72516,12,1,24,"ugm-3","daily_mean",9,"aqe"
"95",2016-09-24,2016-09-25,"m60","Salford M60","o3",31.944131,72516,12,1,24,"ugm-3","daily_mean",9,"aqe"
"96",2016-09-23,2016-09-24,"m60","Salford M60","no2",61.71,72514,12,1,24,"ugm-3","daily_mean",5,"aqe"
"97",2016-09-24,2016-09-25,"m60","Salford M60","no2",42.745703,72514,12,1,24,"ugm-3","daily_mean",5,"aqe"
"98",2016-09-23,2016-09-24,"man1","Manchester Oxford Road","no2",28.926563,74580,12,1,24,"ugm-3","daily_mean",5,"aqe"
"99",2016-09-24,2016-09-25,"man1","Manchester Oxford Road","no2",21.35625,74580,12,1,24,"ugm-3","daily_mean",5,"aqe"
"100",2016-09-23,2016-09-24,"monk","Spalding Monkhouse School","no2",6.05625,71610,12,1,24,"ugm-3","daily_mean",5,"aqe"
"101",2016-09-24,2016-09-25,"monk","Spalding Monkhouse School","no2",5.7375,71610,12,1,24,"ugm-3","daily_mean",5,"aqe"
"102",2016-09-23,2016-09-24,"new2","Cam Road","no2",34.664063,74826,12,1,24,"ugm-3","daily_mean",5,"aqe"
"103",2016-09-24,2016-09-25,"new2","Cam Road","no2",16.734375,74826,12,1,24,"ugm-3","daily_mean",5,"aqe"
"104",2016-09-23,2016-09-24,"nul1","Newcastle-under-Lyme Queens Gardens","no2",35.460938,74940,12,1,24,"ugm-3","daily_mean",5,"aqe"
"105",2016-09-24,2016-09-25,"nul1","Newcastle-under-Lyme Queens Gardens","no2",22.710938,74940,12,1,24,"ugm-3","daily_mean",5,"aqe"
"106",2016-09-23,2016-09-24,"orch","S Cambs Orchard Park School","no2",8.446875,71596,12,1,24,"ugm-3","daily_mean",5,"aqe"
"107",2016-09-24,2016-09-25,"orch","S Cambs Orchard Park School","no2",5.179688,71596,12,1,24,"ugm-3","daily_mean",5,"aqe"
"108",2016-09-23,2016-09-24,"ox3","Oxford St Ebbes (Cal Club)","o3",12.722588,71125,12,1,24,"ugm-3","daily_mean",9,"aqe"
"109",2016-09-24,2016-09-25,"ox3","Oxford St Ebbes (Cal Club)","o3",23.782092,71125,12,1,24,"ugm-3","daily_mean",9,"aqe"
"110",2016-09-23,2016-09-24,"ox6","Oxford High St","no2",93.795652,71117,12,1,24,"ugm-3","daily_mean",5,"aqe"
"111",2016-09-24,2016-09-25,"ox6","Oxford High St","no2",72.342391,71117,12,1,24,"ugm-3","daily_mean",5,"aqe"
"112",2016-09-23,2016-09-24,"rea2","Reading Caversham Road","no2",52.673438,74483,12,1,24,"ugm-3","daily_mean",5,"aqe"
"113",2016-09-24,2016-09-25,"rea2","Reading Caversham Road","no2",51.239063,74483,12,1,24,"ugm-3","daily_mean",5,"aqe"
"114",2016-09-23,2016-09-24,"rea4","Reading Oxford Road","no2",26.057813,74861,12,1,24,"ugm-3","daily_mean",5,"aqe"
"115",2016-09-24,2016-09-25,"rea4","Reading Oxford Road","no2",25.420313,74861,12,1,24,"ugm-3","daily_mean",5,"aqe"
"116",2016-09-23,2016-09-24,"red3","Redcar Dormanstown","no2",8.845313,74808,12,1,24,"ugm-3","daily_mean",5,"aqe"
"117",2016-09-24,2016-09-25,"red3","Redcar Dormanstown","no2",13.228125,74808,12,1,24,"ugm-3","daily_mean",5,"aqe"
"118",2016-09-23,2016-09-24,"red3","Redcar Dormanstown","o3",48.395725,74813,12,1,24,"ugm-3","daily_mean",9,"aqe"
"119",2016-09-24,2016-09-25,"red3","Redcar Dormanstown","o3",48.89465,74813,12,1,24,"ugm-3","daily_mean",9,"aqe"
"120",2016-09-23,2016-09-24,"scw2","Suffolk Coastal Woodbridge 2","no2",38.728125,74005,12,1,24,"ugm-3","daily_mean",5,"aqe"
"121",2016-09-24,2016-09-25,"scw2","Suffolk Coastal Woodbridge 2","no2",17.2125,74005,12,1,24,"ugm-3","daily_mean",5,"aqe"
"122",2016-09-23,2016-09-24,"shol","South Holland Westmere School","o3",39.581383,71604,12,1,24,"ugm-3","daily_mean",9,"aqe"
"123",2016-09-24,2016-09-25,"shol","South Holland Westmere School","o3",61.783546,71604,12,1,24,"ugm-3","daily_mean",9,"aqe"
"124",2016-09-23,2016-09-24,"shol","South Holland Westmere School","no2",17.53125,71602,12,1,24,"ugm-3","daily_mean",5,"aqe"
"125",2016-09-24,2016-09-25,"shol","South Holland Westmere School","no2",14.742188,71602,12,1,24,"ugm-3","daily_mean",5,"aqe"
"126",2016-09-23,2016-09-24,"sips","Sipson","no2",39.20625,70380,12,1,24,"ugm-3","daily_mean",5,"aqe"
"127",2016-09-24,2016-09-25,"sips","Sipson","no2",44.625,70380,12,1,24,"ugm-3","daily_mean",5,"aqe"
"128",2016-09-23,2016-09-24,"slh3","Slough Colnbrook","no2",27.492188,70387,12,1,24,"ugm-3","daily_mean",5,"aqe"
"129",2016-09-24,2016-09-25,"slh3","Slough Colnbrook","no2",24.623438,70387,12,1,24,"ugm-3","daily_mean",5,"aqe"
"130",2016-09-23,2016-09-24,"slh4","Slough Town Centre A4","no2",43.907813,70401,12,1,24,"ugm-3","daily_mean",5,"aqe"
"131",2016-09-24,2016-09-25,"slh4","Slough Town Centre A4","no2",53.948438,70401,12,1,24,"ugm-3","daily_mean",5,"aqe"
"132",2016-09-23,2016-09-24,"slh5","Slough Lakeside 1 Osiris","pm25",3.625,71565,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"133",2016-09-24,2016-09-25,"slh5","Slough Lakeside 1 Osiris","pm25",3.458333,71565,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"134",2016-09-23,2016-09-24,"slh6","Slough Colnbrook Osiris","pm25",4.166667,71559,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"135",2016-09-24,2016-09-25,"slh6","Slough Colnbrook Osiris","pm25",3.833333,71559,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"136",2016-09-23,2016-09-24,"slh7","Slough Chalvey","no2",50.760938,70383,12,1,24,"ugm-3","daily_mean",5,"aqe"
"137",2016-09-24,2016-09-25,"slh7","Slough Chalvey","no2",43.429688,70383,12,1,24,"ugm-3","daily_mean",5,"aqe"
"138",2016-09-23,2016-09-24,"slh8","Slough Lakeside 2","no2",36.735938,71570,12,1,24,"ugm-3","daily_mean",5,"aqe"
"139",2016-09-24,2016-09-25,"slh8","Slough Lakeside 2","no2",38.090625,71570,12,1,24,"ugm-3","daily_mean",5,"aqe"
"140",2016-09-23,2016-09-24,"slh9","Slough Lakeside 2 Osiris","pm25",2.416667,71579,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"141",2016-09-24,2016-09-25,"slh9","Slough Lakeside 2 Osiris","pm25",2.291667,71579,12,1,117,"ugm-3 (Osiris)","daily_mean",11,"aqe"
"142",2016-09-23,2016-09-24,"sta4","Stansted 4","no2",47.015625,74031,12,1,24,"ugm-3","daily_mean",5,"aqe"
"143",2016-09-24,2016-09-25,"sta4","Stansted 4","no2",40.48125,74031,12,1,24,"ugm-3","daily_mean",5,"aqe"
"144",2016-09-23,2016-09-24,"stk5","Stockport Hazel Grove","no2",14.821875,73880,12,1,24,"ugm-3","daily_mean",5,"aqe"
"145",2016-09-24,2016-09-25,"stk5","Stockport Hazel Grove","no2",12.909375,73880,12,1,24,"ugm-3","daily_mean",5,"aqe"
"146",2016-09-23,2016-09-24,"stk7","Stockport Cheadle A34","no2",18.171267,74995,12,1,24,"ugm-3","daily_mean",5,"aqe"
"147",2016-09-24,2016-09-25,"stk7","Stockport Cheadle A34","no2",NA,74995,12,1,24,"ugm-3","daily_mean",5,"aqe"
"148",2016-09-23,2016-09-24,"sun4","Sunderland Trimdon Street","no2",33.628125,74959,12,1,24,"ugm-3","daily_mean",5,"aqe"
"149",2016-09-24,2016-09-25,"sun4","Sunderland Trimdon Street","no2",15.220313,74959,12,1,24,"ugm-3","daily_mean",5,"aqe"
"150",2016-09-23,2016-09-24,"t54","Heathrow Oaks Road","no2",23.5875,70334,12,1,24,"ugm-3","daily_mean",5,"aqe"
"151",2016-09-24,2016-09-25,"t54","Heathrow Oaks Road","no2",12.989063,70334,12,1,24,"ugm-3","daily_mean",5,"aqe"
"152",2016-09-23,2016-09-24,"t54","Heathrow Oaks Road","pm25",5.666667,70339,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"153",2016-09-24,2016-09-25,"t54","Heathrow Oaks Road","pm25",6.666667,70339,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"154",2016-09-23,2016-09-24,"t55","Heathrow Green Gates","pm25",4.75,70319,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"155",2016-09-24,2016-09-25,"t55","Heathrow Green Gates","pm25",6.041667,70319,12,1,127,"ugm-3 (FIDAS)","daily_mean",11,"aqe"
"156",2016-09-23,2016-09-24,"t55","Heathrow Green Gates","no2",36.576563,70315,12,1,24,"ugm-3","daily_mean",5,"aqe"
"157",2016-09-24,2016-09-25,"t55","Heathrow Green Gates","no2",34.74375,70315,12,1,24,"ugm-3","daily_mean",5,"aqe"
"158",2016-09-23,2016-09-24,"tam1","Tameside Mottram Moor","no2",36.01875,74848,12,1,24,"ugm-3","daily_mean",5,"aqe"
"159",2016-09-24,2016-09-25,"tam1","Tameside Mottram Moor","no2",10.598438,74848,12,1,24,"ugm-3","daily_mean",5,"aqe"
"160",2016-09-23,2016-09-24,"tame","Tameside Two Trees School","no2",14.025,72487,12,1,24,"ugm-3","daily_mean",5,"aqe"
"161",2016-09-24,2016-09-25,"tame","Tameside Two Trees School","no2",6.375,72487,12,1,24,"ugm-3","daily_mean",5,"aqe"
"162",2016-09-23,2016-09-24,"traf","Trafford","no2",13.70625,72457,12,1,24,"ugm-3","daily_mean",5,"aqe"
"163",2016-09-24,2016-09-25,"traf","Trafford","no2",6.375,72457,12,1,24,"ugm-3","daily_mean",5,"aqe"
"164",2016-09-23,2016-09-24,"trf2","Trafford A56","no2",33.7875,73697,12,1,24,"ugm-3","daily_mean",5,"aqe"
"165",2016-09-24,2016-09-25,"trf2","Trafford A56","no2",20.878125,73697,12,1,24,"ugm-3","daily_mean",5,"aqe"
"166",2016-09-23,2016-09-24,"wat","Watlington","no2",66.521739,74845,12,1,24,"ugm-3","daily_mean",5,"aqe"
"167",2016-09-24,2016-09-25,"wat","Watlington","no2",27.273913,74845,12,1,24,"ugm-3","daily_mean",5,"aqe"
"168",2016-09-23,2016-09-24,"wd1","Wallingford","no2",20.320313,74740,12,1,24,"ugm-3","daily_mean",5,"aqe"
"169",2016-09-24,2016-09-25,"wd1","Wallingford","no2",8.446875,74740,12,1,24,"ugm-3","daily_mean",5,"aqe"
"170",2016-09-23,2016-09-24,"wid2","Widnes Marzahn Way","no2",30.679688,74968,12,1,24,"ugm-3","daily_mean",5,"aqe"
"171",2016-09-24,2016-09-25,"wid2","Widnes Marzahn Way","no2",16.814063,74968,12,1,24,"ugm-3","daily_mean",5,"aqe"
"172",2016-09-23,2016-09-24,"wil1","Bradford-on-Avon, Masons Lane","no2",35.221875,74879,12,1,24,"ugm-3","daily_mean",5,"aqe"
"173",2016-09-24,2016-09-25,"wil1","Bradford-on-Avon, Masons Lane","no2",32.751563,74879,12,1,24,"ugm-3","daily_mean",5,"aqe"
"174",2016-09-23,2016-09-24,"wil4","Salisbury, Exeter Street","no2",35.0625,74892,12,1,24,"ugm-3","daily_mean",5,"aqe"
"175",2016-09-24,2016-09-25,"wil4","Salisbury, Exeter Street","no2",25.579688,74892,12,1,24,"ugm-3","daily_mean",5,"aqe"
"176",2016-09-23,2016-09-24,"wil8","Calne London Road","no2",21.675,74985,12,1,24,"ugm-3","daily_mean",5,"aqe"
"177",2016-09-24,2016-09-25,"wil8","Calne London Road","no2",4.350938,74985,12,1,24,"ugm-3","daily_mean",5,"aqe"
"178",2016-09-23,2016-09-24,"wl1","Waltham Forest Dawlish Rd","no2",34.345313,74629,12,1,24,"ugm-3","daily_mean",5,"aqe"
"179",2016-09-24,2016-09-25,"wl1","Waltham Forest Dawlish Rd","no2",21.196875,74629,12,1,24,"ugm-3","daily_mean",5,"aqe"
