"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"367",1626,"81018","BATHGATE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"370",1628,"81020","BATHGATE 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"373",1828,"82974","BEARSDEN 10N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"374",1864,"83847","Bearsden 13N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"375",1865,"83848","Bearsden 14N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"376",1866,"83849","Bearsden 15N","no2",2003-04-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"377",1867,"83850","Bearsden 16N","no2",2005-11-02,NA,"roadside",NA,NA,"md_measurement","scotarc"
"378",1782,"82554","BEARSDEN 1N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"379",1783,"82555","BEARSDEN 2N","no2",1994-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"380",1784,"82556","BEARSDEN 3N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"381",1785,"82557","BEARSDEN 4N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"382",1861,"83844","Bearsden 7N","no2",1998-03-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"383",1862,"83845","Bearsden 8N","no2",1998-02-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"384",1863,"83846","Bearsden 9N","no2",1998-02-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"416",1900,"84184","Bellshill 1N","no2",2005-11-29,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"417",1680,"81907","BELLSHILL 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"421",1827,"82973","BISHOPBRIGGS 12N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"422",1857,"83840","Bishopbriggs 13N","no2",2003-04-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"423",1858,"83841","Bishopbriggs 14N","no2",2003-12-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"424",1631,"81023","BISHOPBRIGGS 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"425",1629,"81021","BISHOPBRIGGS 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"426",1630,"81022","BISHOPBRIGGS 7N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"427",1632,"81024","BISHOPBRIGGS 8N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"438",1695,"81934","BOTHWELL 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"468",1771,"82351","BRORA 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"478",2010,"bush","Bush Estate","o3",1986-04-01,NA,"rural",55.862281,-3.205782,"measurement","scotarc"
"481",2011,"bush","Bush Estate","no2",2003-10-09,NA,"rural",55.862281,-3.205782,"measurement","scotarc"
"490",1878,"84162","Carfin 1N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"491",1874,"84158","Chapelhall 1N","no2",NA,NA,"roadside",NA,NA,"md_measurement","scotarc"
"492",1894,"84178","Chapelhall 2N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"493",1895,"84179","Chapelhall 3N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"494",1667,"81839","CLARKSTON 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"495",1773,"82436","CLYDEBANK 1N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"496",1774,"82437","CLYDEBANK 2N","no2",1994-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"497",1775,"82438","CLYDEBANK 3N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"498",1776,"82439","CLYDEBANK 4N","no2",1994-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"501",1837,"83594","CLYDEBANK 5N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"504",1855,"83746","Clydebank 8n","no2",2005-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"511",1669,"81888","COATBRIDGE 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"512",1670,"81889","COATBRIDGE 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"513",1841,"83598","COATBRIDGE 3N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"516",1871,"84154","Coatbridge 4N","no2",2005-03-03,NA,"roadside",NA,NA,"md_measurement","scotarc"
"519",1880,"84164","Coatbridge 5N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"520",1881,"84165","Coatbridge 6N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
