"","date","date_end","site","site_name","variable","value","network_id","longitude","latitude","site_type","database_name"
"1",2016-08-15,2016-08-16,"ay1","Aylesbury Walton Street 2","no2",32.751563,"aqe",-0.808084,51.812443,"roadside","aqengland"
"2",2016-08-15,2016-08-16,"bai2","Birmingham Airport 2","no2",26.45625,"aqe",-1.743912,52.455719,"airport","aqengland"
"3",2016-08-15,2016-08-16,"bar6","Barnsley A628 Pogmoor Roadside","no2",28.6875,"aqe",-1.50816,53.551177,"roadside","aqengland"
"4",2016-08-15,2016-08-16,"bn1","Tally Ho","no2",25.5,"aqe",-0.176607,51.614675,"kerbside","aqengland"
"5",2016-08-15,2016-08-16,"bn2","London Barnet Chalgrove School","no2",14.98125,"aqe",-0.205992,51.591901,"urban_background","aqengland"
"6",2016-08-15,2016-08-16,"bur1","Bury Radcliffe","no2",32.671875,"aqe",-2.330732,53.563481,"roadside","aqengland"
"7",2016-08-15,2016-08-16,"bur2","Bury Prestwich","no2",43.66875,"aqe",-2.277565,53.524915,"roadside","aqengland"
"8",2016-08-15,2016-08-16,"cam1","Cambridge Parker Street","no2",16.415625,"aqe",0.127483,52.204133,"roadside","aqengland"
"9",2016-08-15,2016-08-16,"cam3","Cambridge Gonville Place","no2",13.307813,"aqe",0.12774,52.199575,"roadside","aqengland"
"10",2016-08-15,2016-08-16,"cam4","Cambridge Newmarket Road","no2",19.707065,"aqe",0.141521,52.20843,"roadside","aqengland"
"11",2016-08-15,2016-08-16,"cam5","Cambridge Montague Road","no2",14.184375,"aqe",0.138083,52.21393,NA,"aqengland"
"12",2016-08-15,2016-08-16,"crl2","Carlisle Stanwix Bank","no2",14.821875,"aqe",-2.937022,54.90455,"roadside","aqengland"
"13",2016-08-15,2016-08-16,"em1","East Midlands Airport","no2",11.475,"aqe",-1.345222,52.833277,"airport","aqengland"
