"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"46",2255,"ABD2","PM10",2005-01-01,2009-01-19,"measurement","Aberdeen Market St",57.143889,-2.093889,"6",999,"saun","Scottish Automatic Urban Network","kerbside","North East Scotland",NA,"scotarc","abd2","pm10"
"47",2252,"ABD2","NO2",2005-01-01,2009-01-19,"measurement","Aberdeen Market St",57.143889,-2.093889,"6",3,"saun","Scottish Automatic Urban Network","kerbside","North East Scotland",NA,"scotarc","abd2","no2"
"48",2253,"ABD2","GE10",2005-01-01,2009-01-19,"measurement","Aberdeen Market St",57.143889,-2.093889,"6",6,"saun","Scottish Automatic Urban Network","kerbside","North East Scotland",NA,"scotarc","abd2","ge10"
"49",3284,"ABD0","PM1",2015-09-30,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",1380,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","pm1"
"50",2876,"ABD0","M_SPED",2010-08-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",1373,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","ws"
"51",2693,"ABD0","NOXasNO2",2009-06-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",9,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd0","nox"
"52",2690,"ABD0","NO",2009-06-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",2,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd0","no"
"53",2877,"ABD0","M_DIR",2010-08-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",1374,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","wd"
"54",3282,"ABD0","PM25",2015-09-30,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",7,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","pm25"
"55",2694,"ABD0","PM10",2009-06-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",999,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd0","pm10"
"56",2691,"ABD0","NO2",2009-06-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",3,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","abd0","no2"
"57",3283,"ABD0","TSP",2015-09-30,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",1381,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","tsp"
"58",2875,"ABD0","M_T",2010-08-01,NA,"measurement","Aberdeen Market Street 2",57.141922,-2.091664,"7",1372,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","abd0","temp"
